[2023-11-19 13:07:37] [INFO    ] discord.client: logging in using static token
[2023-11-19 13:07:38] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 35aea83640c46fa8afe2352fe2c3b3a9).
[2023-11-19 13:07:41] [INFO    ] discord.voice_client: Connecting to voice...
[2023-11-19 13:07:41] [INFO    ] discord.voice_client: Starting voice handshake... (connection attempt 1)
[2023-11-19 13:07:41] [INFO    ] discord.voice_client: Voice handshake complete. Endpoint found hongkong6985.discord.media
[2023-11-19 13:09:26] [INFO    ] discord.player: ffmpeg process 11652 has not terminated. Waiting to terminate...
[2023-11-19 13:09:26] [INFO    ] discord.voice_client: The voice handshake is being terminated for Channel ID 911128711053586462 (Guild ID 910918653011181619)
[2023-11-19 13:09:26] [INFO    ] discord.player: ffmpeg process 11652 should have terminated with a return code of 1.
[2023-11-19 13:09:26] [INFO    ] discord.voice_client: Disconnecting from voice normally, close code 1000.
[2023-11-19 13:09:41] [INFO    ] discord.voice_client: Connecting to voice...
[2023-11-19 13:09:41] [INFO    ] discord.voice_client: Starting voice handshake... (connection attempt 1)
[2023-11-19 13:09:41] [INFO    ] discord.voice_client: Voice handshake complete. Endpoint found hongkong6985.discord.media
[2023-11-19 13:10:08] [INFO    ] discord.player: ffmpeg process 11176 has not terminated. Waiting to terminate...
[2023-11-19 13:10:08] [INFO    ] discord.voice_client: The voice handshake is being terminated for Channel ID 911128711053586462 (Guild ID 910918653011181619)
[2023-11-19 13:10:08] [INFO    ] discord.player: ffmpeg process 11176 should have terminated with a return code of 1.
[2023-11-19 13:10:08] [INFO    ] discord.voice_client: Disconnecting from voice normally, close code 1000.
[2023-11-19 13:10:15] [INFO    ] discord.voice_client: Connecting to voice...
[2023-11-19 13:10:15] [INFO    ] discord.voice_client: Starting voice handshake... (connection attempt 1)
[2023-11-19 13:10:15] [INFO    ] discord.voice_client: Voice handshake complete. Endpoint found hongkong6985.discord.media
[2023-11-19 13:15:33] [INFO    ] discord.player: ffmpeg process 22328 successfully terminated with return code of 0.
[2023-11-19 13:15:33] [INFO    ] discord.voice_client: The voice handshake is being terminated for Channel ID 911128711053586462 (Guild ID 910918653011181619)
[2023-11-19 13:15:33] [INFO    ] discord.voice_client: Disconnecting from voice normally, close code 1000.
